,,159.0,122.99999999999999,61.49999999999999,41.0,30.749999999999996,24.599999999999998,20.5,17.57142857142857,15.374999999999998,13.666666666666664,12.299999999999999,11.18181818181818,10.25,9.461538461538462,8.785714285714285,8.2,7.687499999999999,7.235294117647059,6.833333333333332,6.473684210526315,6.1499999999999995,5.857142857142857,5.59090909090909,5.3478260869565215,5.125,4.919999999999999,4.730769230769231,4.555555555555555,4.392857142857142,4.241379310344827,4.1,3.9677419354838706,3.8437499999999996,3.727272727272727,3.6176470588235294,3.514285714285714,3.416666666666666,3.324324324324324,3.2368421052631575,3.1538461538461533,3.0749999999999997,2.9999999999999996,2.9285714285714284,2.8604651162790695,2.795454545454545,2.733333333333333,2.6739130434782608,2.6170212765957444,2.5625,2.5102040816326525,2.4599999999999995,2.411764705882353,2.3653846153846154,2.320754716981132,2.2777777777777777,2.2363636363636363,2.196428571428571,2.1578947368421053,2.1206896551724137,2.084745762711864,2.05,2.0163934426229506
b 1 55,Mining kt,162368.05685221963,159096.2436433915,149620.6028865558,134925.48534017935,116542.71228464837,96415.64643023766,76755.72064953114,59891.08629843112,47920.47977344769,41697.76128577002,39727.584028692116,39246.20301523258,38318.14395364545,36356.06181009454,33674.10159460073,30981.856607805563,28946.61837849073,27831.503058874154,27387.48468167959,27091.497431009484,26479.267432970755,25321.862438773955,23644.11767300754,21669.703721014404,19734.385343885217,18167.26950564296,17150.090392589504,16632.499553688944,16393.953082012278,16203.999209601558,15942.004494333998,15616.212698039148,15306.951592295027,15081.962490128344,14936.78705102525,14797.681717881607,14576.602356804626,14231.22990258334,13791.802061694014,13344.70637163126,12984.09933601802,12759.107315855743,12651.430575903005,12597.776047581568,12534.588810521462,12430.492643581978,12291.009289980215,12142.035984228096,12007.99949374736,11898.905034982947,11811.288822881368,11737.458852947473,11673.287230230379,11619.115964304843,11575.483929253147,11539.13606279221,11503.244122973156,11461.463350330045,11412.407658203023,11361.337803102288,11318.20066688393,11293.38268728435
b 1 60,Mining kt,179735.4595568031,176120.6903005569,165647.33383292577,149390.149756928,129022.25860031517,106668.06321565053,84750.91289844242,65843.18263242836,52326.506528335674,45289.29001523676,43156.11766121873,42774.79724631024,41874.85395384029,39723.83657503122,36630.33686106008,33392.46848811368,30833.898356004436,29380.47354450634,28851.157151309428,28664.79840017112,28243.36695390379,27259.918440584894,25682.207626074596,23716.8906177223,21715.50776057226,20046.787589596315,18940.985577423,18381.290111453873,18147.69991998266,17983.621117188413,17736.967844727144,17396.197349178237,17040.553745934212,16753.740338221738,16554.448190542924,16385.73637426704,16162.066732206787,15830.7616995803,15405.256658455794,14955.627143253338,14566.661168188846,14289.60868576844,14118.606796413833,14005.721665224959,13898.024564224446,13767.207053189031,13615.81766888066,13463.9330653803,13330.330104734472,13221.293717850906,13131.622325225238,13052.821469571518,12980.030731445444,12913.090009864462,12853.218137459233,12799.747199292124,12749.914819386275,12701.264581706915,12654.07941319797,12611.837154428922,12579.68123218468,12562.276431280532
b 1 65,Mining kt,190849.32633764745,187002.96946399807,175857.58553419993,158553.22709820876,136862.74484558482,113033.34806246121,89623.62430673835,69351.40281001801,54766.78842408497,47125.147832911636,44848.63859643946,44568.86005533685,43818.37145227923,41786.218614348494,38773.78947887232,35589.73561108234,33056.74924121961,31590.440423732005,31012.563392524025,30760.223563630625,30271.018877059123,29222.682110374943,27580.161803788735,25544.717871450193,23463.19421531894,21703.867916703002,20505.54513779824,19868.86986522962,19589.47395901692,19413.883098307542,19181.011067302967,18864.36076996894,18527.452500473075,18241.850783727074,18021.811369878633,17814.92242353672,17546.24362428682,17175.259856325232,16725.214707473217,16270.368322346014,15892.104802669523,15632.131265371136,15474.0698733564,15363.768896912554,15247.985442833595,15101.921640446391,14932.095971035553,14760.628289100376,14606.208644948103,14474.634143911593,14361.86256058877,14262.789528991434,14176.719334138455,14105.891384880932,14050.284054797514,14004.489233033264,13959.666796720814,13908.83810877782,13851.356367036185,13793.648632441986,13746.292762369902,13719.547160008993
b 1 90,Mining kt,274693.9105875277,269073.05549268593,252754.77975016914,227313.0127231859,195187.88030759507,159459.1883769618,123631.98544388068,91546.63741564273,67423.18662778618,54938.17188993289,53166.97406414316,55875.697289884796,57968.26790570174,57665.49417296354,55126.15432341232,51302.01063169186,47298.418787704715,43966.2488962399,41655.582741436425,40205.283759938866,39169.65725656199,38101.95861696237,36724.97924443968,34973.44417185819,32965.95692485724,30944.02225534534,29185.384575579024,27898.769751214735,27137.44128008422,26787.74800573609,26643.41733776967,26506.739822275453,26253.38991320524,25845.763834567744,25313.475987805425,24722.91235565948,24148.167733803883,23647.195498838402,23244.707454923067,22925.83189235286,22645.26813703975,22350.835682917008,22011.37227708539,21634.632223141114,21264.55730548008,20957.36082726291,20748.64627203774,20632.01556314118,20563.802221746166,20489.894452521658,20375.589970122262,20220.417009353165,20052.02466490001,19905.828859960886,19803.99696455037,19746.010184948016,19714.183989496167,19687.510684170997,19653.669915260605,19613.11618269196,19575.55737504147,19552.915723090126
b 1 95,Mining kt,286644.94691710133,280786.5183862366,263781.02143679216,237276.1555202411,203826.52450838583,166656.49650334512,129434.38292709233,96169.0973454401,71215.75698552784,58244.72392928449,56186.93287552499,58711.37873788932,60644.079891122106,60160.76021799955,57425.624827310276,53419.63356028248,49272.35282989011,45837.419678272185,43448.82067505373,41928.127606196926,40824.64374878763,39697.076601172026,38274.85432103597,36493.54819053989,34464.98271218217,32418.981553763253,30622.807039782278,29283.04682789004,28462.107114487553,28060.82745317976,27882.1382256507,27726.71286065375,27460.548603768806,27035.130325724625,26474.09563527326,25845.69319123913,25232.366824523153,24701.938352247238,24284.565318344637,23963.15212411406,23684.067929231485,23385.765857731458,23031.774649385443,22630.912926747624,22233.347651087388,21902.878923525695,21679.753586299783,21556.99004687703,21486.21193705908,21407.873498254557,21284.316885020686,21115.81244656902,20933.453705829288,20776.48418736086,20669.04438848935,20609.837936004737,20578.45789167639,20550.996609229565,20513.622594547545,20467.274326499613,20423.68806291351,20397.225806273727
b 1 100,Mining kt,306229.25996245584,300029.97680734587,282029.059054643,253951.20358269947,218464.75706048487,178923.01614787997,139108.15571142724,103093.82554900469,75278.95570606491,59710.040473862144,56218.761067186286,58534.37471892271,60777.318250117154,60675.712361522346,58223.27081757637,54340.600353810165,50141.35816870995,46506.1903650828,43849.11590012282,42099.2643734149,40884.220137060154,39774.51636363869,38449.35496457335,36760.6253021326,34737.68714064689,32562.05728099408,30511.847816290632,28867.337518340224,27793.60832720998,27262.031229675824,27074.39409477532,26972.51709191442,26749.87462752328,26309.361392579598,25667.191597862336,24923.057564861214,24211.39782497842,23644.549563207365,23265.01858670793,23030.28979749775,22841.254120115616,22598.1445240326,22252.264547136245,21828.386424973603,21408.62782660909,21085.007098345686,20905.241657679424,20845.907869208837,20831.23594316663,20781.449741940552,20655.93661579947,20467.264271259177,20263.985776591737,20096.891623211388,19990.37219393193,19935.177016811867,19902.773708871377,19867.037865921073,19817.932075401168,19761.795468939825,19712.988552384268,19684.888959068765
b 2 55,Mining kt,144487.48377653566,141668.36528287758,133492.29055694083,120774.56720431536,104784.84977918703,87133.48695372257,69648.33708544835,54251.52306205679,42735.89864351371,36093.946903079304,33513.44898756831,32788.58845870438,32110.572655414802,30834.625098741777,29173.35634767563,27685.557148602817,26807.30530961894,26548.106472061823,26527.761623947903,26268.85059502241,25453.295101779975,24016.178058743124,22124.82989840883,20102.882331793357,18317.904557006175,17037.878426627638,16309.544567583207,15962.83791670857,15752.804274193231,15508.208586747354,15187.93540989268,14851.229983148269,14584.610321255504,14429.546053176302,14352.042234835011,14268.677023437273,14101.921998666412,13824.022008065873,13467.848106226122,13105.069735373281,12805.251045760153,12598.719648420685,12466.342617463572,12361.253635653033,12243.602604353187,12103.675124845116,11961.797493591584,11849.174536759268,11783.803049419184,11757.521534648678,11741.849734074667,11706.44046259428,11636.494856593676,11538.949005682894,11435.73806960413,11349.727578644925,11292.37369736637,11260.368348693548,11241.941284656157,11226.834633944229,11212.482820157335,11202.958806742801
b 2 60,Mining kt,163055.3476687331,159873.91248870487,150648.67289109263,136305.34783695018,118288.72329455544,98438.75588736669,78857.65400933244,61771.74671619979,49243.66914395739,42311.45719294889,39857.46516140692,39294.20283845391,38603.70407697147,37077.17055064201,34943.68399766058,32831.568668050226,31289.771997025837,30449.733284203907,29998.370575501518,29448.76287788479,28436.661653055944,26858.364980023092,24866.50191228314,22788.883004567466,20999.7956014001,19760.12285501514,19093.26394177418,18801.058539608217,18613.814929220207,18339.36533304096,17921.07073693822,17414.272169339845,16921.04178681705,16519.489641502656,16221.55402237289,15979.362498855087,15727.846466149442,15428.711590762185,15088.65890052529,14747.02881728964,14445.445391935333,14200.241159739804,13995.409543859318,13798.671221081122,13586.670151299464,13361.32517487163,13148.091561819452,12978.931246102215,12871.596413004887,12818.751547076901,12793.278321561238,12764.426476223745,12713.23522293624,12638.68074189207,12553.31617676823,12473.059294192482,12407.973232363396,12359.080239021916,12321.669627264351,12291.301585715362,12267.707790144006,12254.25028493203
b 2 100,Mining kt,282073.96712540166,276391.43109020544,259890.8360514911,234156.70799398635,201654.84360243156,165517.55548169627,129343.9670389035,97113.38310763253,73142.79542190213,60884.18326227968,59049.260821023985,61542.69709965617,63419.425196367374,62870.984766935115,60021.68126165676,55840.42774500748,51489.015856529455,47879.2299469964,45388.77424665431,43836.72478980308,42732.903626417974,41596.657188964804,40144.55356648204,38326.63915313517,36280.52735571075,34253.3765643812,32508.552692561123,31229.47803520582,30452.696127283038,30068.059588223943,29885.186708253405,29718.26207407587,29442.202462404795,29008.587204327363,28434.552909452887,27780.44121215991,27124.55257633299,26537.40098033124,26058.292818166472,25681.78684004075,25362.788315055022,25041.111168695825,24674.236159028573,24260.9896692534,23842.936617017425,23481.356845539292,23221.418151356436,23065.081237852253,22970.688273564123,22878.725791600064,22745.258900275054,22562.32250079308,22355.968644222612,22166.456535251127,22023.980403002683,21934.261692996755,21880.7299478599,21838.786318385333,21791.260520363834,21736.25318272603,21685.139942180027,21654.021715023893
