,,0x3e1c,0x300b,0x1805,0x1004,0xc02,0x99c,0x802,0x6dd,0x601,0x556,0x4ce,0x45e,0x401,0x3b2,0x36e,0x333,0x300,0x2d3,0x2ab,0x287,0x267,0x249,0x22f,0x216,0x200,0x1eb,0x1d9,0x1c7,0x1b7,0x1a8,0x199,0x18c,0x180,0x174,0x169,0x15f,0x155,0x14c,0x143,0x13b,0x133,0x12b,0x124,0x11e,0x117,0x111,0x10b,0x105,0x100,0xfb,0xf5,0xf1,0xec,0xe8,0xe3,0xdf,0xdb,0xd7,0xd4,0xd0,0xcc,0xc9
b 1 55,Shock kt,449500.010154673,434091.412458621,390553.5875056058,326530.8029802938,253522.15061448526,185467.7604882325,136592.28634673217,114100.14788299348,108103.93761129671,102874.11376983787,92445.78368857497,79577.91965618316,69945.77580418713,66024.76336944236,64673.88703747138,61847.92794999614,56700.67730842303,51328.25333467959,48191.12017337839,47322.994566952024,46607.52608604057,44506.89440966318,41402.65918249292,38867.88792539234,37854.04656333573,37629.111186329195,36854.72623234835,35113.90633438949,33177.04601106475,32071.908533598315,31881.540470119275,31724.063053289694,30873.150539195973,29497.47801697785,28394.558199641433,28063.34719410906,28124.05721601175,27841.86044471525,26977.594702271606,25992.61477041199,25507.039254852076,25565.985096632485,25614.476489235993,25187.991139443067,24410.358527938308,23829.104145076526,23778.340407966076,23980.033136474976,23908.1401040955,23399.52815659764,22812.807977311888,22617.056405380932,22831.594267187804,23013.394923416738,22798.900445056453,22304.34914118968,21988.975115926365,22120.815531732915,22448.747894579075,22519.13718250508,22203.277795511487,21834.89815954689
b 1 60,Shock kt,491692.0111234195,474836.3664124042,427209.55737562507,357172.919023183,277304.13173140696,202851.15255027494,149375.8908940751,124767.29854912676,118213.05614806747,112500.3191738664,101100.11651809484,87029.38019316524,76495.91617040154,72207.55556181875,70728.59511796973,67634.11079734316,61998.40517727539,56115.18804747842,52678.54944236684,51727.616998724836,50946.77678753533,48652.42154266236,45261.282382692094,42493.80163295389,41389.872548271,41147.541983472154,40302.41310158922,38398.6683831586,36279.57006494689,35070.03211554742,34861.39892579205,34689.055487954596,33758.337656601034,32253.685271286093,31047.533772840907,30685.685260266415,30752.522216750567,30444.06536367466,29498.712904845495,28421.30937824758,27890.396849145494,27955.32648716638,28008.818196505938,27542.58364855331,26692.074817774614,26056.333033988867,26000.933281259615,26221.697017831495,26143.102364642367,25586.685268488513,24944.814808911786,24730.729524052498,24965.565874323052,25164.580875353982,24929.993321896924,24388.976457426583,24043.987820853665,24188.29927328813,24547.144825899155,24624.191513638678,24278.62320475068,23875.577245504002
b 1 65,Shock kt,534328.822270848,516012.72424277343,464259.4246734703,388155.0512135172,301367.4134503615,220465.2794299423,162356.00647395416,135607.4047896694,128473.47030811617,122256.318215628,109863.09682499815,94572.74287711986,83131.11209344536,78478.2684662619,76877.39456230299,73519.12369043464,67397.74609069302,61005.331222670626,57268.61001892121,56230.828552441955,55377.6822172285,52880.852724595505,49193.51240335088,46185.16464237536,44985.493383817266,44722.566448754485,43804.751481161264,41736.58668612174,39434.276450956066,38120.03008024358,37893.1020180272,37705.5296991315,36693.99857618775,35058.95942963254,33748.29412150405,33354.91898309117,33427.211569617386,33091.657504010596,32064.06310901739,30892.996834523856,30315.735083920114,30385.92007949533,30443.74071295786,29936.921624347044,29012.637160378657,28321.76498973941,28261.496191386435,28501.315577272926,28415.885910637993,27811.28935000281,27113.840260544705,26881.171393539167,27136.24587469064,27352.39362367839,27097.425315730532,26509.527581845457,26134.63575310294,26291.390653620776,26681.253779098537,26764.94556362484,26389.463147722232,25951.53936004379
b 1 70,Shock kt,576724.170710926,556946.4573250345,501063.09804815595,418884.9812579896,325171.2179385285,237818.13342726187,175100.60464710408,146287.62112969038,138665.2190412032,132013.4996171187,118676.64130064037,102201.35137414145,89867.49331837293,84841.90300419313,83094.83110732376,79442.85862770295,72803.54619799643,65869.57510985261,61807.42560821327,60670.99783790775,59744.98866978738,57050.51889719828,53073.69045891216,49831.87468409178,48543.64740610772,48265.703723681545,47278.43922127329,45046.9669334965,42561.275274117,41142.11572374236,40897.41937998322,40695.58548082231,39604.0129868096,37838.850594297866,36423.6127903764,35998.72268748001,36076.59489009275,35713.93231699755,34603.85550786389,33338.93590730467,32715.660827673975,32792.03887216152,32855.26947100958,32308.64031247513,31310.931058723345,30565.06267663657,30500.09984360353,30759.169583107356,30666.932557131673,30013.9619082521,29260.710578862814,29009.50691157509,29285.172734610285,29518.82285557354,29243.614784030815,28608.763083245605,28203.9204019445,28373.28017636832,28794.407142072694,28884.835379912492,28479.306460266704,28006.317007532438
b 1 75,Shock kt,619266.2719809768,598023.9926559991,538001.7292794841,449734.887236971,349072.453529274,255234.0449644367,187856.37650107106,156919.65681560678,148766.63372989392,141654.94886821054,127355.18883308713,109680.22009808852,96452.94144315005,91073.69229463903,89209.88226462141,85293.47258186487,78163.74304228903,70714.97121186223,66350.5568168173,65129.844472272685,64136.02954028451,61242.966638843456,56972.66340432873,53492.201418908466,52110.29716025821,51812.886320133635,50752.29402265374,48354.109377611414,45682.521791752646,44157.41719653069,43895.2505606027,43679.910540494544,42508.9249866442,40614.227493881706,39095.3502269739,38640.269850283614,38724.98579131354,38336.019080267506,37143.813994813674,35785.233497804424,35116.207997876176,35199.03068847666,35267.663542410635,34680.883680854255,33609.29775924127,32808.23430856954,32738.781955875686,33017.47002332438,32918.630596964555,32217.24678616452,31408.095818996037,31138.42430274059,31434.896033093246,31686.186440130732,31390.6542509843,30708.6347423055,30273.74275990189,30455.849639089534,30908.468928148253,31005.71026016832,30570.000170726362,30061.768837762695
b 1 80,Shock kt,662179.3999195138,639463.7177134522,575277.4881054834,480884.66304512665,373229.66899616766,272860.2208170449,200775.28495668506,167666.72619961874,158945.2743953344,151348.02458074174,136064.5947273675,117171.39709075082,103038.22701351726,97303.20188557464,95327.51706168763,91152.27355428512,83535.64279201838,75573.50503980879,70907.04018014479,69601.51467270468,68538.5373689533,65444.721053915004,60878.8024434512,57159.06058401792,55685.11263396355,55371.14682696761,54239.94271481741,51676.87968561975,48820.34824438765,47189.514580967414,46909.41542044395,46679.44096582208,45427.330860335176,43401.1701707802,41777.1634660857,41291.29940504429,41382.92824742614,40967.77326257891,39693.24352531407,38240.587896335855,37525.48189134856,37614.6104773748,37688.502975841046,37061.233989131935,35915.32697995315,35058.83179254861,34985.03913132442,35283.67991090923,35178.41242886703,34428.50030425252,33563.2181639345,33274.99527342886,33592.38241608533,33861.40752720706,33545.44864677941,32816.02106287084,32350.94015738355,32545.89107874858,33030.19144617386,33134.28085205826,32668.20761182494,32124.524256141154
b 1 85,Shock kt,705889.5852827737,681677.4626541209,613264.1468803436,512659.63975415897,397931.47876519966,290989.153997397,214211.68792619644,178956.76845657028,169648.17089864536,161514.71666616973,145182.73352756668,125000.66422962077,109893.47203551249,103749.63333411545,101631.15771757046,97181.93475997304,89071.78101633508,80595.17748765479,75627.51690810152,74235.4641799764,73097.51857975344,69794.0048805859,64922.72599515078,60955.79289807443,59384.88620275224,59051.59076097204,57847.3659539057,55116.42341478829,52071.656374502614,50332.10091672768,50031.68518294093,49785.248273104124,48450.50008913676,46291.724865612676,44561.78102364434,44044.139929511366,44141.00276932305,43697.17542902756,42337.38048115133,40788.02730122582,40025.145346310535,40119.78146900355,40198.4715731432,39530.01249019174,38308.73262851601,37395.61401327607,37316.33958032648,37633.91059685757,37521.21477442513,36721.78013302422,35799.58749010223,35492.37403718472,35830.451128804016,36116.92534021313,35779.99506556941,35002.483693609734,34506.71086200511,34714.31668339003,35230.30744013581,35341.18498350415,34844.51859396122,34265.17141082091
b 1 90,Shock kt,748108.4642563243,722435.6138719713,649891.7130171779,543201.6943117087,421507.22695761273,308023.0296324176,226494.90949890294,189063.1675190262,179250.69995187697,170713.0170785935,153468.56510491206,132126.08640795914,116160.81179361114,109700.89049016694,107498.5321586773,102807.09540705588,94218.93833887605,85234.26577444561,79971.8420345389,78506.39459374968,77311.73180761462,73818.48437486393,68660.6960344395,64462.4727064297,62807.21662064435,62463.95656372862,61193.6839353606,58300.49281714355,55072.41156689291,53229.37695842956,52914.52779642792,52657.250340901184,51244.62480260073,48957.02952193599,47124.61554774488,46579.36918258952,46686.291582968865,46218.61621074426,44777.88953194914,43135.41917760857,42327.84574997631,42430.81201136256,42516.770663194635,41809.29230314449,40514.63286328916,39546.98817163439,39464.66279581642,39803.56629137308,39685.40534390604,38837.87105521602,37859.78795500426,37534.63219407227,37894.6386221751,38199.73451364998,37842.76964521121,37017.837918979974,36491.94340312835,36712.89476578939,37261.20415721696,37379.223792024866,36852.02215471042,36236.89406710117
b 1 95,Shock kt,792130.708764318,764949.7149386668,688144.644653399,575189.1400979846,446351.1745265855,326210.5519563292,239903.73875568362,200270.1554978145,189863.65326957803,180805.17185004478,162531.28219493962,139920.96270584848,123006.07273588584,116159.11773880565,113824.86005702688,108858.82133829383,99768.98902706397,90259.76281107633,84690.16844829891,83138.46878630786,81872.10415897542,78171.76793298934,72709.23953756968,68262.95924306371,66509.50103153882,66145.75273842234,64801.17779376729,61738.78909541584,58321.87076248049,56370.85438649471,56037.100849934584,55763.95232419301,54267.63235112009,51845.15412848452,49904.76005823112,49327.204488974705,49440.191071875815,48944.94449553186,47419.584966721566,45680.604473391395,44825.39089050353,44934.05013625633,45024.7297165756,44275.522291919326,42904.78827802341,41880.29717150552,41793.03573427911,42151.688193807546,42026.47487179223,41129.13008746843,40093.5924665528,39749.26080726424,40130.26192750286,40453.15345569142,40075.193609239155,39201.85242247503,38645.086129820826,38878.94068484895,39459.34816324021,39584.256895473234,39026.13675787511,38374.94971965996
b 1 100,Shock kt,835165.9120910096,806499.9634425814,725497.1103977183,606361.8175245704,470460.9132836099,343709.14821805415,252628.31984295335,210813.87650799018,199880.15383393414,190375.15859163765,171134.1436392023,147302.42534894118,129472.2798168851,122268.95290716166,119830.56836867856,114612.99188883511,105039.28890714067,95017.89686251756,89150.91190635654,87523.12979496973,86195.65524162653,82298.9793531744,76542.58399000113,71859.49862617381,70019.26621678597,69644.83562966403,68232.8821631686,65005.33969676707,61401.50102575582,59344.20848269366,58994.66181139463,58710.07187778234,57135.111843338826,54582.774723346825,52539.00495215868,51933.13513278122,52055.216358497455,51534.40574358998,49925.73678991267,48091.430523918614,47190.34144895347,47307.16998941168,47405.156923194336,46616.41661911232,45171.23421872289,44091.14943879107,44000.19526337447,44379.83150948196,44248.64246431642,43302.37454212293,42210.183877301824,41847.63312581056,42250.71124549096,42592.29418796453,42193.899791791606,41272.42966510572,40685.05316490125,40932.28049104412,41545.29216396854,41677.38605633763,41088.37439199416,40401.01044287158
