,value,period,hidisp_s,lodisp_s,hidisp_b,lodisp_b,category
b 1 5,22959.396532669853,159.0,,39825.60641756393,,,Lower 80% of displacements
b 1 5,38462.3253852396,123.0,,38462.3253852396,,,Lower 80% of displacements
b 1 5,34610.43302331667,61.5,,34610.43302331667,,,Lower 80% of displacements
b 1 5,28946.596161163885,41.0,,28946.596161163885,,,Lower 80% of displacements
b 1 5,22488.47258231904,30.75,,22488.47258231904,,,Lower 80% of displacements
b 1 5,16468.636810057666,24.6,,16468.636810057666,,,Lower 80% of displacements
b 1 5,12141.293019366118,20.5,,12141.293019366118,,,Lower 80% of displacements
b 1 5,10137.95194686477,17.57,,10137.95194686477,,,Lower 80% of displacements
b 1 5,9589.543966902569,15.37,,9589.543966902569,,,Lower 80% of displacements
b 1 5,9113.022662163212,13.67,,9113.022662163212,,,Lower 80% of displacements
b 1 5,8181.808969341636,12.3,,8181.808969341636,,,Lower 80% of displacements
b 1 5,7039.359241170361,11.18,,7039.359241170361,,,Lower 80% of displacements
b 1 5,6187.553777966067,10.25,,6187.553777966067,,,Lower 80% of displacements
b 1 10,24502.928498740635,159.0,,79940.22630498651,,,Lower 80% of displacements
b 1 10,77204.89699113199,123.0,,77204.89699113199,,,Lower 80% of displacements
b 1 10,69476.52121693877,61.5,,69476.52121693877,,,Lower 80% of displacements
b 1 10,58113.371752364685,41.0,,58113.371752364685,,,Lower 80% of displacements
b 1 10,45158.407407415885,30.75,,45158.407407415885,,,Lower 80% of displacements
b 1 10,33086.1161415289,24.6,,33086.1161415289,,,Lower 80% of displacements
b 1 10,24412.45779139581,20.5,,24412.45779139581,,,Lower 80% of displacements
b 1 10,20398.14589832867,17.57,,20398.14589832867,,,Lower 80% of displacements
b 1 10,19295.804060917468,15.37,,19295.804060917468,,,Lower 80% of displacements
b 1 10,18334.4918748887,13.67,,18334.4918748887,,,Lower 80% of displacements
b 1 10,16459.213166664493,12.3,,16459.213166664493,,,Lower 80% of displacements
b 1 10,14157.194166070802,11.18,,14157.194166070802,,,Lower 80% of displacements
b 1 10,12434.912246022146,10.25,,12434.912246022146,,,Lower 80% of displacements
b 1 15,26217.14808293965,159.0,,120265.76955480305,,,Lower 80% of displacements
b 1 15,116151.12740533848,123.0,,116151.12740533848,,,Lower 80% of displacements
b 1 15,104525.5935828652,61.5,,104525.5935828652,,,Lower 80% of displacements
b 1 15,87432.1933922898,41.0,,87432.1933922898,,,Lower 80% of displacements
b 1 15,67943.80353515336,30.75,,67943.80353515336,,,Lower 80% of displacements
b 1 15,49782.317036762855,24.6,,49782.317036762855,,,Lower 80% of displacements
b 1 15,36731.97706263706,20.5,,36731.97706263706,,,Lower 80% of displacements
b 1 15,30689.87487363458,17.57,,30689.87487363458,,,Lower 80% of displacements
b 1 15,29029.577657265374,15.37,,29029.577657265374,,,Lower 80% of displacements
b 1 15,27583.152864160485,13.67,,27583.152864160485,,,Lower 80% of displacements
b 1 15,24762.41669002726,12.3,,24762.41669002726,,,Lower 80% of displacements
b 1 15,21299.224140533155,11.18,,21299.224140533155,,,Lower 80% of displacements
b 1 15,18707.147021582667,10.25,,18707.147021582667,,,Lower 80% of displacements
b 1 20,27342.850661427718,159.0,,160486.97287343026,,,Lower 80% of displacements
b 1 20,154990.3736770143,123.0,,154990.3736770143,,,Lower 80% of displacements
b 1 20,139459.61039084097,61.5,,139459.61039084097,,,Lower 80% of displacements
b 1 20,116621.95408493302,41.0,,116621.95408493302,,,Lower 80% of displacements
b 1 20,90579.34039085543,30.75,,90579.34039085543,,,Lower 80% of displacements
b 1 20,66301.76919547743,24.6,,66301.76919547743,,,Lower 80% of displacements
b 1 20,48853.059479894124,20.5,,48853.059479894124,,,Lower 80% of displacements
b 1 20,40792.43849660439,17.57,,40792.43849660439,,,Lower 80% of displacements
b 1 20,38610.35798592936,15.37,,38610.35798592936,,,Lower 80% of displacements
b 1 20,36715.15209675283,13.67,,36715.15209675283,,,Lower 80% of displacements
b 1 20,32979.803885786925,12.3,,32979.803885786925,,,Lower 80% of displacements
b 1 20,28385.895825438067,11.18,,28385.895825438067,,,Lower 80% of displacements
b 1 20,24956.01112275153,10.25,,24956.01112275153,,,Lower 80% of displacements
b 1 25,29276.06209498094,159.0,,200997.73445584835,,,Lower 80% of displacements
b 1 25,194111.31947432787,123.0,,194111.31947432787,,,Lower 80% of displacements
b 1 25,174653.5612907483,61.5,,174653.5612907483,,,Lower 80% of displacements
b 1 25,146041.37180010168,41.0,,146041.37180010168,,,Lower 80% of displacements
b 1 25,113414.66266942595,30.75,,113414.66266942595,,,Lower 80% of displacements
b 1 25,83003.37469015567,24.6,,83003.37469015567,,,Lower 80% of displacements
b 1 25,61159.682650462506,20.5,,61159.682650462506,,,Lower 80% of displacements
b 1 25,51093.936427871944,17.57,,51093.936427871944,,,Lower 80% of displacements
b 1 25,48393.70165397825,15.37,,48393.70165397825,,,Lower 80% of displacements
b 1 25,46041.416100533854,13.67,,46041.416100533854,,,Lower 80% of displacements
b 1 25,41371.34375802208,12.3,,41371.34375802208,,,Lower 80% of displacements
b 1 25,35611.774222644046,11.18,,35611.774222644046,,,Lower 80% of displacements
b 1 25,31294.819887549085,10.25,,31294.819887549085,,,Lower 80% of displacements
b 1 30,30834.297411280262,159.0,,241944.02818844328,,,Lower 80% of displacements
b 1 30,233654.94807890157,123.0,,233654.94807890157,,,Lower 80% of displacements
b 1 30,210234.17681576812,61.5,,210234.17681576812,,,Lower 80% of displacements
b 1 30,175795.3729424065,41.0,,175795.3729424065,,,Lower 80% of displacements
b 1 30,136526.64094200588,30.75,,136526.64094200588,,,Lower 80% of displacements
b 1 30,99928.29762928374,24.6,,99928.29762928374,,,Lower 80% of displacements
b 1 30,73645.6573167408,20.5,,73645.6573167408,,,Lower 80% of displacements
b 1 30,61535.820419895994,17.57,,61535.820419895994,,,Lower 80% of displacements
b 1 30,58282.281030494334,15.37,,58282.281030494334,,,Lower 80% of displacements
b 1 30,55442.035675434796,13.67,,55442.035675434796,,,Lower 80% of displacements
b 1 30,49809.78988697676,12.3,,49809.78988697676,,,Lower 80% of displacements
b 1 30,42865.62494030631,11.18,,42865.62494030631,,,Lower 80% of displacements
b 1 30,37660.13108444295,10.25,,37660.13108444295,,,Lower 80% of displacements
b 1 35,32609.453186568455,159.0,,283102.57276360557,,,Lower 80% of displacements
b 1 35,273403.64424134104,123.0,,273403.64424134104,,,Lower 80% of displacements
b 1 35,245999.24068164465,61.5,,245999.24068164465,,,Lower 80% of displacements
b 1 35,205702.361611792,41.0,,205702.361611792,,,Lower 80% of displacements
b 1 35,159753.05338456164,30.75,,159753.05338456164,,,Lower 80% of displacements
b 1 35,116926.57154340505,24.6,,116926.57154340505,,,Lower 80% of displacements
b 1 35,86168.35492130625,20.5,,86168.35492130625,,,Lower 80% of displacements
b 1 35,71994.0667970185,17.57,,71994.0667970185,,,Lower 80% of displacements
b 1 35,68186.23197311105,15.37,,68186.23197311105,,,Lower 80% of displacements
b 1 35,64865.120980441505,13.67,,64865.120980441505,,,Lower 80% of displacements
b 1 35,58278.65964445581,12.3,,58278.65964445581,,,Lower 80% of displacements
b 1 35,50157.667031098026,11.18,,50157.667031098026,,,Lower 80% of displacements
b 1 35,44070.30506248855,10.25,,44070.30506248855,,,Lower 80% of displacements
b 1 40,33941.192525313396,159.0,,324474.27857108833,,,Lower 80% of displacements
b 1 40,313355.800089636,123.0,,313355.800089636,,,Lower 80% of displacements
b 1 40,281940.368377874,61.5,,281940.368377874,,,Lower 80% of displacements
b 1 40,235745.13187437484,41.0,,235745.13187437484,,,Lower 80% of displacements
b 1 40,183069.20739108016,30.75,,183069.20739108016,,,Lower 80% of displacements
b 1 40,133971.65357413568,24.6,,133971.65357413568,,,Lower 80% of displacements
b 1 40,98708.94800264145,20.5,,98708.94800264145,,,Lower 80% of displacements
b 1 40,82463.38415699592,17.57,,82463.38415699592,,,Lower 80% of displacements
b 1 40,78106.86797826411,15.37,,78106.86797826411,,,Lower 80% of displacements
b 1 40,74308.9136190471,13.67,,74308.9136190471,,,Lower 80% of displacements
b 1 40,66769.84795124407,12.3,,66769.84795124407,,,Lower 80% of displacements
b 1 40,57478.067171672774,11.18,,57478.067171672774,,,Lower 80% of displacements
b 1 40,50524.64003208263,10.25,,50524.64003208263,,,Lower 80% of displacements
b 1 45,35819.25760191071,159.0,,365787.16439687175,,,Lower 80% of displacements
b 1 45,353249.6056122846,123.0,,353249.6056122846,,,Lower 80% of displacements
b 1 45,317824.010597588,61.5,,317824.010597588,,,Lower 80% of displacements
b 1 45,265730.1546963695,41.0,,265730.1546963695,,,Lower 80% of displacements
b 1 45,206324.15158512877,30.75,,206324.15158512877,,,Lower 80% of displacements
b 1 45,150947.69952005203,24.6,,150947.69952005203,,,Lower 80% of displacements
b 1 45,111172.86877398637,20.5,,111172.86877398637,,,Lower 80% of displacements
b 1 45,92861.4521029739,17.57,,92861.4521029739,,,Lower 80% of displacements
b 1 45,87974.62562631842,15.37,,87974.62562631842,,,Lower 80% of displacements
b 1 45,83717.3450374974,13.67,,83717.3450374974,,,Lower 80% of displacements
b 1 45,75234.54277570208,12.3,,75234.54277570208,,,Lower 80% of displacements
b 1 45,64768.24800659049,11.18,,64768.24800659049,,,Lower 80% of displacements
b 1 45,56932.55233453162,10.25,,56932.55233453162,,,Lower 80% of displacements
b 1 50,38126.70918842725,159.0,,407450.9173713847,,,Lower 80% of displacements
b 1 50,393483.65937326435,123.0,,393483.65937326435,,,Lower 80% of displacements
b 1 50,354018.189425019,61.5,,354018.189425019,,,Lower 80% of displacements
b 1 50,295983.1079569012,41.0,,295983.1079569012,,,Lower 80% of displacements
b 1 50,229801.13093154939,30.75,,229801.13093154939,,,Lower 80% of displacements
b 1 50,168108.30989701097,24.6,,168108.30989701097,,,Lower 80% of displacements
b 1 50,123801.36168269478,20.5,,123801.36168269478,,,Lower 80% of displacements
b 1 50,103417.0890581393,17.57,,103417.0890581393,,,Lower 80% of displacements
b 1 50,97993.70276696734,15.37,,97993.70276696734,,,Lower 80% of displacements
b 1 50,93267.41255113526,13.67,,93267.41255113526,,,Lower 80% of displacements
b 1 50,83827.27163698802,12.3,,83827.27163698802,,,Lower 80% of displacements
b 1 50,72170.27297919951,11.18,,72170.27297919951,,,Lower 80% of displacements
b 1 50,63435.983210755665,10.25,,63435.983210755665,,,Lower 80% of displacements
b 2 5,22915.476559070397,159.0,,38390.439595769676,,,Lower 80% of displacements
b 2 5,37128.16529531169,123.0,,37128.16529531169,,,Lower 80% of displacements
b 2 5,33553.46126622669,61.5,,33553.46126622669,,,Lower 80% of displacements
b 2 5,28270.415906548118,41.0,,28270.415906548118,,,Lower 80% of displacements
b 2 5,22189.73593066191,30.75,,22189.73593066191,,,Lower 80% of displacements
b 2 5,16417.884836259094,24.6,,16417.884836259094,,,Lower 80% of displacements
b 2 5,12100.21173601505,20.5,,12100.21173601505,,,Lower 80% of displacements
b 2 5,9923.180427533573,17.57,,9923.180427533573,,,Lower 80% of displacements
b 2 5,9279.903961108976,15.37,,9279.903961108976,,,Lower 80% of displacements
b 2 5,8879.435288772022,13.67,,8879.435288772022,,,Lower 80% of displacements
b 2 5,8091.173532647998,12.3,,8091.173532647998,,,Lower 80% of displacements
b 2 5,7030.739174737134,11.18,,7030.739174737134,,,Lower 80% of displacements
b 2 5,6133.188216289589,10.25,,6133.188216289589,,,Lower 80% of displacements
b 2 10,24702.442842884222,159.0,,76971.18304953112,,,Lower 80% of displacements
b 2 10,74441.50299994303,123.0,,74441.50299994303,,,Lower 80% of displacements
b 2 10,67277.54548693121,61.5,,67277.54548693121,,,Lower 80% of displacements
b 2 10,56689.95413086777,41.0,,56689.95413086777,,,Lower 80% of displacements
b 2 10,44504.05023636049,30.75,,44504.05023636049,,,Lower 80% of displacements
b 2 10,32937.76756781655,24.6,,32937.76756781655,,,Lower 80% of displacements
b 2 10,24286.654747758526,20.5,,24286.654747758526,,,Lower 80% of displacements
b 2 10,19924.78519928868,17.57,,19924.78519928868,,,Lower 80% of displacements
b 2 10,18634.709391058062,15.37,,18634.709391058062,,,Lower 80% of displacements
b 2 10,17829.931059559556,13.67,,17829.931059559556,,,Lower 80% of displacements
b 2 10,16245.342273420016,12.3,,16245.342273420016,,,Lower 80% of displacements
b 2 10,14109.979124116502,11.18,,14109.979124116502,,,Lower 80% of displacements
b 2 10,12294.91803742988,10.25,,12294.91803742988,,,Lower 80% of displacements
b 2 15,26389.402785520317,159.0,,115857.2066566654,,,Lower 80% of displacements
b 2 15,112050.68963280831,123.0,,112050.68963280831,,,Lower 80% of displacements
b 2 15,101270.81300456914,61.5,,101270.81300456914,,,Lower 80% of displacements
b 2 15,85339.40522933524,41.0,,85339.40522933524,,,Lower 80% of displacements
b 2 15,67003.33129183477,30.75,,67003.33129183477,,,Lower 80% of displacements
b 2 15,49600.15230836396,24.6,,49600.15230836396,,,Lower 80% of displacements
b 2 15,36583.14419727707,20.5,,36583.14419727707,,,Lower 80% of displacements
b 2 15,30017.26775018557,17.57,,30017.26775018557,,,Lower 80% of displacements
b 2 15,28071.084228357668,15.37,,28071.084228357668,,,Lower 80% of displacements
b 2 15,26855.975714614775,13.67,,26855.975714614775,,,Lower 80% of displacements
b 2 15,24468.72578757776,12.3,,24468.72578757776,,,Lower 80% of displacements
b 2 15,21252.783957528325,11.18,,21252.783957528325,,,Lower 80% of displacements
b 2 15,18517.8203572331,10.25,,18517.8203572331,,,Lower 80% of displacements
b 2 20,27262.947296151855,159.0,,154736.1328471767,,,Lower 80% of displacements
b 2 20,149648.14300445007,123.0,,149648.14300445007,,,Lower 80% of displacements
b 2 20,135238.74817963215,61.5,,135238.74817963215,,,Lower 80% of displacements
b 2 20,113941.71916665566,41.0,,113941.71916665566,,,Lower 80% of displacements
b 2 20,89426.36927755263,30.75,,89426.36927755263,,,Lower 80% of displacements
b 2 20,66151.72314638394,24.6,,66151.72314638394,,,Lower 80% of displacements
b 2 20,48737.384229386305,20.5,,48737.384229386305,,,Lower 80% of displacements
b 2 20,39960.52663970004,17.57,,39960.52663970004,,,Lower 80% of displacements
b 2 20,37379.24917000303,15.37,,37379.24917000303,,,Lower 80% of displacements
b 2 20,35780.6081568553,13.67,,35780.6081568553,,,Lower 80% of displacements
b 2 20,32615.15032287076,12.3,,32615.15032287076,,,Lower 80% of displacements
b 2 20,28345.415524268854,11.18,,28345.415524268854,,,Lower 80% of displacements
b 2 20,24724.167961018786,10.25,,24724.167961018786,,,Lower 80% of displacements
b 2 25,28722.45434666722,159.0,,193999.8944652463,,,Lower 80% of displacements
b 2 25,187620.6090226896,123.0,,187620.6090226896,,,Lower 80% of displacements
b 2 25,169554.23533049304,61.5,,169554.23533049304,,,Lower 80% of displacements
b 2 25,142852.3525250571,41.0,,142852.3525250571,,,Lower 80% of displacements
b 2 25,112115.99562923666,30.75,,112115.99562923666,,,Lower 80% of displacements
b 2 25,82937.14095596735,24.6,,82937.14095596735,,,Lower 80% of displacements
b 2 25,61110.14576695603,20.5,,61110.14576695603,,,Lower 80% of displacements
b 2 25,50117.50457123266,17.57,,50117.50457123266,,,Lower 80% of displacements
b 2 25,46892.91190026081,15.37,,46892.91190026081,,,Lower 80% of displacements
b 2 25,44897.70800884169,13.67,,44897.70800884169,,,Lower 80% of displacements
b 2 25,40935.95760905883,12.3,,40935.95760905883,,,Lower 80% of displacements
b 2 25,35587.32362468474,11.18,,35587.32362468474,,,Lower 80% of displacements
b 2 25,31047.098294239444,10.25,,31047.098294239444,,,Lower 80% of displacements
b 2 30,30657.95256209423,159.0,,233169.2842298616,,,Lower 80% of displacements
b 2 30,225499.44176907733,123.0,,225499.44176907733,,,Lower 80% of displacements
b 2 30,203778.14659726497,61.5,,203778.14659726497,,,Lower 80% of displacements
b 2 30,171674.45041450637,41.0,,171674.45041450637,,,Lower 80% of displacements
b 2 30,134721.11167551967,30.75,,134721.11167551967,,,Lower 80% of displacements
b 2 30,99644.66870730498,24.6,,99644.66870730498,,,Lower 80% of displacements
b 2 30,73419.33032896066,20.5,,73419.33032896066,,,Lower 80% of displacements
b 2 30,60236.49697500193,17.57,,60236.49697500193,,,Lower 80% of displacements
b 2 30,56393.62299045503,15.37,,56393.62299045503,,,Lower 80% of displacements
b 2 30,54013.874639722475,13.67,,54013.874639722475,,,Lower 80% of displacements
b 2 30,49252.782038841964,12.3,,49252.782038841964,,,Lower 80% of displacements
b 2 30,42807.12274881418,11.18,,42807.12274881418,,,Lower 80% of displacements
b 2 30,37318.28516999912,10.25,,37318.28516999912,,,Lower 80% of displacements
b 2 35,32658.075749276955,159.0,,272703.8322833532,,,Lower 80% of displacements
b 2 35,263733.7769815202,123.0,,263733.7769815202,,,Lower 80% of displacements
b 2 35,238329.80255684155,61.5,,238329.80255684155,,,Lower 80% of displacements
b 2 35,200781.71355008785,41.0,,200781.71355008785,,,Lower 80% of displacements
b 2 35,157558.28113455305,30.75,,157558.28113455305,,,Lower 80% of displacements
b 2 35,116524.24201991744,24.6,,116524.24201991744,,,Lower 80% of displacements
b 2 35,85836.49707208335,20.5,,85836.49707208335,,,Lower 80% of displacements
b 2 35,70406.06318349521,17.57,,70406.06318349521,,,Lower 80% of displacements
b 2 35,65912.13001944366,15.37,,65912.13001944366,,,Lower 80% of displacements
b 2 35,63137.38070876539,13.67,,63137.38070876539,,,Lower 80% of displacements
b 2 35,57578.177699880966,12.3,,57578.177699880966,,,Lower 80% of displacements
b 2 35,50045.62466891285,11.18,,50045.62466891285,,,Lower 80% of displacements
b 2 35,43627.5238146655,10.25,,43627.5238146655,,,Lower 80% of displacements
b 2 40,33547.68756501484,159.0,,312624.24023147055,,,Lower 80% of displacements
b 2 40,302339.2923444663,123.0,,302339.2923444663,,,Lower 80% of displacements
b 2 40,273211.489752781,61.5,,273211.489752781,,,Lower 80% of displacements
b 2 40,230159.6400601595,41.0,,230159.6400601595,,,Lower 80% of displacements
b 2 40,180601.0632163102,30.75,,180601.0632163102,,,Lower 80% of displacements
b 2 40,133554.12611910954,24.6,,133554.12611910954,,,Lower 80% of displacements
b 2 40,98373.51771664768,20.5,,98373.51771664768,,,Lower 80% of displacements
b 2 40,80692.15766155039,17.57,,80692.15766155039,,,Lower 80% of displacements
b 2 40,75551.75678157143,15.37,,75551.75678157143,,,Lower 80% of displacements
b 2 40,72380.29992580767,13.67,,72380.29992580767,,,Lower 80% of displacements
b 2 40,66017.06864600629,12.3,,66017.06864600629,,,Lower 80% of displacements
b 2 40,57396.77183701972,11.18,,57396.77183701972,,,Lower 80% of displacements
b 2 40,50061.04307575037,10.25,,50061.04307575037,,,Lower 80% of displacements
b 2 45,35455.33180765658,159.0,,352634.761991202,,,Lower 80% of displacements
b 2 45,341033.55936449993,123.0,,341033.55936449993,,,Lower 80% of displacements
b 2 45,308177.71350420185,61.5,,308177.71350420185,,,Lower 80% of displacements
b 2 45,259614.67181945677,41.0,,259614.67181945677,,,Lower 80% of displacements
b 2 45,203709.74438401396,30.75,,203709.74438401396,,,Lower 80% of displacements
b 2 45,150634.25622737498,24.6,,150634.25622737498,,,Lower 80% of displacements
b 2 45,110940.97171193198,20.5,,110940.97171193198,,,Lower 80% of displacements
b 2 45,90990.35002749482,17.57,,90990.35002749482,,,Lower 80% of displacements
b 2 45,85194.98294982634,15.37,,85194.98294982634,,,Lower 80% of displacements
b 2 45,81625.29730641926,13.67,,81625.29730641926,,,Lower 80% of displacements
b 2 45,74455.05864282827,12.3,,74455.05864282827,,,Lower 80% of displacements
b 2 45,64736.39410689279,11.18,,64736.39410689279,,,Lower 80% of displacements
b 2 45,56463.68317822525,10.25,,56463.68317822525,,,Lower 80% of displacements
b 2 50,37279.694732242184,159.0,,392846.9416295852,,,Lower 80% of displacements
b 2 50,379922.7281628598,123.0,,379922.7281628598,,,Lower 80% of displacements
b 2 50,343319.60940878966,61.5,,343319.60940878966,,,Lower 80% of displacements
b 2 50,289216.6083106109,41.0,,289216.6083106109,,,Lower 80% of displacements
b 2 50,226931.37817220628,30.75,,226931.37817220628,,,Lower 80% of displacements
b 2 50,167793.41782584623,24.6,,167793.41782584623,,,Lower 80% of displacements
b 2 50,123559.47849181465,20.5,,123559.47849181465,,,Lower 80% of displacements
b 2 50,101323.46687569305,17.57,,101323.46687569305,,,Lower 80% of displacements
b 2 50,94868.4131549406,15.37,,94868.4131549406,,,Lower 80% of displacements
b 2 50,90899.30620142109,13.67,,90899.30620142109,,,Lower 80% of displacements
b 2 50,82919.6660365401,12.3,,82919.6660365401,,,Lower 80% of displacements
b 2 50,72099.68246564298,11.18,,72099.68246564298,,,Lower 80% of displacements
b 2 50,62889.47919398366,10.25,,62889.47919398366,,,Lower 80% of displacements
b 3 5,22873.186399607654,159.0,,36960.9320127441,,,Lower 80% of displacements
b 3 5,35791.96228476478,123.0,,35791.96228476478,,,Lower 80% of displacements
b 3 5,32475.0257377123,61.5,,32475.0257377123,,,Lower 80% of displacements
b 3 5,27551.62275280606,41.0,,27551.62275280606,,,Lower 80% of displacements
b 3 5,21839.09371088334,30.75,,21839.09371088334,,,Lower 80% of displacements
b 3 5,16331.172080399689,24.6,,16331.172080399689,,,Lower 80% of displacements
b 3 5,12065.782926451446,20.5,,12065.782926451446,,,Lower 80% of displacements
b 3 5,9741.531158183463,17.57,,9741.531158183463,,,Lower 80% of displacements
b 3 5,8976.321187714662,15.37,,8976.321187714662,,,Lower 80% of displacements
b 3 5,8613.010460800135,13.67,,8613.010460800135,,,Lower 80% of displacements
b 3 5,7954.589615086401,12.3,,7954.589615086401,,,Lower 80% of displacements
b 3 5,7001.04437637399,11.18,,7001.04437637399,,,Lower 80% of displacements
b 3 5,6102.359757932433,10.25,,6102.359757932433,,,Lower 80% of displacements
b 3 10,24771.852396710943,159.0,,74089.85788550744,,,Lower 80% of displacements
b 3 10,71748.19954094895,123.0,,71748.19954094895,,,Lower 80% of displacements
b 3 10,65103.683541717866,61.5,,65103.683541717866,,,Lower 80% of displacements
b 3 10,55240.81680695396,41.0,,55240.81680695396,,,Lower 80% of displacements
b 3 10,43796.66616199184,30.75,,43796.66616199184,,,Lower 80% of displacements
b 3 10,32761.685772525994,24.6,,32761.685772525994,,,Lower 80% of displacements
b 3 10,24214.490104835677,20.5,,24214.490104835677,,,Lower 80% of displacements
b 3 10,19553.551622012244,17.57,,19553.551622012244,,,Lower 80% of displacements
b 3 10,18014.93950758463,15.37,,18014.93950758463,,,Lower 80% of displacements
b 3 10,17282.645563369304,13.67,,17282.645563369304,,,Lower 80% of displacements
b 3 10,15958.396996601447,12.3,,15958.396996601447,,,Lower 80% of displacements
b 3 10,14038.664493495711,11.18,,14038.664493495711,,,Lower 80% of displacements
b 3 10,12222.960796605033,10.25,,12222.960796605033,,,Lower 80% of displacements
b 3 15,26004.48605943752,159.0,,111549.94664359506,,,Lower 80% of displacements
b 3 15,108024.68593865217,123.0,,108024.68593865217,,,Lower 80% of displacements
b 3 15,98021.70744722444,61.5,,98021.70744722444,,,Lower 80% of displacements
b 3 15,83173.81041669703,41.0,,83173.81041669703,,,Lower 80% of displacements
b 3 15,65945.7359232945,30.75,,65945.7359232945,,,Lower 80% of displacements
b 3 15,49334.26878894026,24.6,,49334.26878894026,,,Lower 80% of displacements
b 3 15,36468.591381390564,20.5,,36468.591381390564,,,Lower 80% of displacements
b 3 15,29452.977693576417,17.57,,29452.977693576417,,,Lower 80% of displacements
b 3 15,27136.765110910466,15.37,,27136.765110910466,,,Lower 80% of displacements
b 3 15,26034.827956785455,13.67,,26034.827956785455,,,Lower 80% of displacements
b 3 15,24043.514777946064,12.3,,24043.514777946064,,,Lower 80% of displacements
b 3 15,21158.0537802888,11.18,,21158.0537802888,,,Lower 80% of displacements
b 3 15,18430.912508910635,10.25,,18430.912508910635,,,Lower 80% of displacements
b 3 20,27092.67834814849,159.0,,148948.75154359036,,,Lower 80% of displacements
b 3 20,144238.4139939739,123.0,,144238.4139939739,,,Lower 80% of displacements
b 3 20,130872.36746797469,61.5,,130872.36746797469,,,Lower 80% of displacements
b 3 20,111031.13206094582,41.0,,111031.13206094582,,,Lower 80% of displacements
b 3 20,88006.20216374043,30.75,,88006.20216374043,,,Lower 80% of displacements
b 3 20,65800.27370698767,24.6,,65800.27370698767,,,Lower 80% of displacements
b 3 20,48597.444063310926,20.5,,48597.444063310926,,,Lower 80% of displacements
b 3 20,39222.78857257419,17.57,,39222.78857257419,,,Lower 80% of displacements
b 3 20,36145.81197039261,15.37,,36145.81197039261,,,Lower 80% of displacements
b 3 20,34696.91226800785,13.67,,34696.91226800785,,,Lower 80% of displacements
b 3 20,32057.568942790807,12.3,,32057.568942790807,,,Lower 80% of displacements
b 3 20,28222.154783186823,11.18,,28222.154783186823,,,Lower 80% of displacements
b 3 20,24598.76057111043,10.25,,24598.76057111043,,,Lower 80% of displacements
b 3 25,28998.697476628535,159.0,,186679.15498060713,,,Lower 80% of displacements
b 3 25,180777.35777624574,123.0,,180777.35777624574,,,Lower 80% of displacements
b 3 25,164030.12884636948,61.5,,164030.12884636948,,,Lower 80% of displacements
b 3 25,139168.69272457078,41.0,,139168.69272457078,,,Lower 80% of displacements
b 3 25,110315.81186439743,30.75,,110315.81186439743,,,Lower 80% of displacements
b 3 25,82484.9911373978,24.6,,82484.9911373978,,,Lower 80% of displacements
b 3 25,60917.362464610946,20.5,,60917.362464610946,,,Lower 80% of displacements
b 3 25,49155.50341962541,17.57,,49155.50341962541,,,Lower 80% of displacements
b 3 25,45290.50690995831,15.37,,45290.50690995831,,,Lower 80% of displacements
b 3 25,43473.60045882174,13.67,,43473.60045882174,,,Lower 80% of displacements
b 3 25,40167.859380728354,12.3,,40167.859380728354,,,Lower 80% of displacements
b 3 25,35360.958574233264,11.18,,35360.958574233264,,,Lower 80% of displacements
b 3 25,30814.349891862617,10.25,,30814.349891862617,,,Lower 80% of displacements
b 3 30,30399.726978105584,159.0,,224549.79203681104,,,Lower 80% of displacements
b 3 30,217448.3460926195,123.0,,217448.3460926195,,,Lower 80% of displacements
b 3 30,197297.0982014809,61.5,,197297.0982014809,,,Lower 80% of displacements
b 3 30,167383.08583316518,41.0,,167383.08583316518,,,Lower 80% of displacements
b 3 30,132668.78905729984,30.75,,132668.78905729984,,,Lower 80% of displacements
b 3 30,99190.8364441307,24.6,,99190.8364441307,,,Lower 80% of displacements
b 3 30,73263.1802032534,20.5,,73263.1802032534,,,Lower 80% of displacements
b 3 30,59151.340669720266,17.57,,59151.340669720266,,,Lower 80% of displacements
b 3 30,54541.516413590136,15.37,,54541.516413590136,,,Lower 80% of displacements
b 3 30,52381.54151070589,13.67,,52381.54151070589,,,Lower 80% of displacements
b 3 30,48416.83489981672,12.3,,48416.83489981672,,,Lower 80% of displacements
b 3 30,42635.1739718601,11.18,,42635.1739718601,,,Lower 80% of displacements
b 3 30,37155.53858478659,10.25,,37155.53858478659,,,Lower 80% of displacements
b 3 35,32661.88106324758,159.0,,262523.34200520517,,,Lower 80% of displacements
b 3 35,254221.6792634467,123.0,,254221.6792634467,,,Lower 80% of displacements
b 3 35,230664.37238101588,61.5,,230664.37238101588,,,Lower 80% of displacements
b 3 35,195693.20674693253,41.0,,195693.20674693253,,,Lower 80% of displacements
b 3 35,155108.3096702208,30.75,,155108.3096702208,,,Lower 80% of displacements
b 3 35,115965.66812482271,24.6,,115965.66812482271,,,Lower 80% of displacements
b 3 35,85646.80173579651,20.5,,85646.80173579651,,,Lower 80% of displacements
b 3 35,69142.22852593091,17.57,,69142.22852593091,,,Lower 80% of displacements
b 3 35,63751.46871993002,15.37,,63751.46871993002,,,Lower 80% of displacements
b 3 35,61227.071507152476,13.67,,61227.071507152476,,,Lower 80% of displacements
b 3 35,56589.018672982835,12.3,,56589.018672982835,,,Lower 80% of displacements
