,value,period,hidisp_s,lodisp_s,hidisp_b,lodisp_b,category
b 1 55,39641.805314389,159.0,,,,449500.010154673,Lower 80% of displacements
b 1 55,434091.412458621,123.0,,,,434091.412458621,Lower 80% of displacements
b 1 55,390553.5875056058,61.5,,,,390553.5875056058,Lower 80% of displacements
b 1 55,326530.8029802938,41.0,,,,326530.8029802938,Lower 80% of displacements
b 1 55,253522.15061448526,30.75,,,,253522.15061448526,Lower 80% of displacements
b 1 55,185467.7604882325,24.6,,,,185467.7604882325,Lower 80% of displacements
b 1 55,136592.28634673217,20.5,,,,136592.28634673217,Lower 80% of displacements
b 1 55,114100.14788299348,17.57,,,,114100.14788299348,Lower 80% of displacements
b 1 55,108103.93761129671,15.37,,,,108103.93761129671,Lower 80% of displacements
b 1 55,102874.11376983787,13.67,,,,102874.11376983787,Lower 80% of displacements
b 1 55,92445.78368857497,12.3,,,,92445.78368857497,Lower 80% of displacements
b 1 55,79577.91965618316,11.18,,,,79577.91965618316,Lower 80% of displacements
b 1 55,69945.77580418713,10.25,,,,69945.77580418713,Lower 80% of displacements
b 1 60,41528.276019652905,159.0,,,,491692.0111234195,Lower 80% of displacements
b 1 60,474836.3664124042,123.0,,,,474836.3664124042,Lower 80% of displacements
b 1 60,427209.55737562507,61.5,,,,427209.55737562507,Lower 80% of displacements
b 1 60,357172.919023183,41.0,,,,357172.919023183,Lower 80% of displacements
b 1 60,277304.13173140696,30.75,,,,277304.13173140696,Lower 80% of displacements
b 1 60,202851.15255027494,24.6,,,,202851.15255027494,Lower 80% of displacements
b 1 60,149375.8908940751,20.5,,,,149375.8908940751,Lower 80% of displacements
b 1 60,124767.29854912676,17.57,,,,124767.29854912676,Lower 80% of displacements
b 1 60,118213.05614806747,15.37,,,,118213.05614806747,Lower 80% of displacements
b 1 60,112500.3191738664,13.67,,,,112500.3191738664,Lower 80% of displacements
b 1 60,101100.11651809484,12.3,,,,101100.11651809484,Lower 80% of displacements
b 1 60,87029.38019316524,11.18,,,,87029.38019316524,Lower 80% of displacements
b 1 60,76495.91617040154,10.25,,,,76495.91617040154,Lower 80% of displacements
b 1 65,43364.46686634753,159.0,,,,534328.822270848,Lower 80% of displacements
b 1 65,516012.72424277343,123.0,,,,516012.72424277343,Lower 80% of displacements
b 1 65,464259.4246734703,61.5,,,,464259.4246734703,Lower 80% of displacements
b 1 65,388155.0512135172,41.0,,,,388155.0512135172,Lower 80% of displacements
b 1 65,301367.4134503615,30.75,,,,301367.4134503615,Lower 80% of displacements
b 1 65,220465.2794299423,24.6,,,,220465.2794299423,Lower 80% of displacements
b 1 65,162356.00647395416,20.5,,,,162356.00647395416,Lower 80% of displacements
b 1 65,135607.4047896694,17.57,,,,135607.4047896694,Lower 80% of displacements
b 1 65,128473.47030811617,15.37,,,,128473.47030811617,Lower 80% of displacements
b 1 65,122256.318215628,13.67,,,,122256.318215628,Lower 80% of displacements
b 1 65,109863.09682499815,12.3,,,,109863.09682499815,Lower 80% of displacements
b 1 65,94572.74287711986,11.18,,,,94572.74287711986,Lower 80% of displacements
b 1 65,83131.11209344536,10.25,,,,83131.11209344536,Lower 80% of displacements
b 1 70,45341.67515347926,159.0,,,576724.170710926,,Upper 20% of displacements
b 1 70,556946.4573250345,123.0,,,556946.4573250345,,Upper 20% of displacements
b 1 70,501063.09804815595,61.5,,,501063.09804815595,,Upper 20% of displacements
b 1 70,418884.9812579896,41.0,,,418884.9812579896,,Upper 20% of displacements
b 1 70,325171.2179385285,30.75,,,325171.2179385285,,Upper 20% of displacements
b 1 70,237818.13342726187,24.6,,,237818.13342726187,,Upper 20% of displacements
b 1 70,175100.60464710408,20.5,,,175100.60464710408,,Upper 20% of displacements
b 1 70,146287.62112969038,17.57,,,146287.62112969038,,Upper 20% of displacements
b 1 70,138665.2190412032,15.37,,,138665.2190412032,,Upper 20% of displacements
b 1 70,132013.4996171187,13.67,,,132013.4996171187,,Upper 20% of displacements
b 1 70,118676.64130064037,12.3,,,118676.64130064037,,Upper 20% of displacements
b 1 70,102201.35137414145,11.18,,,102201.35137414145,,Upper 20% of displacements
b 1 70,89867.49331837293,10.25,,,89867.49331837293,,Upper 20% of displacements
b 1 75,47170.78941965023,159.0,,,619266.2719809768,,Upper 20% of displacements
b 1 75,598023.9926559991,123.0,,,598023.9926559991,,Upper 20% of displacements
b 1 75,538001.7292794841,61.5,,,538001.7292794841,,Upper 20% of displacements
b 1 75,449734.887236971,41.0,,,449734.887236971,,Upper 20% of displacements
b 1 75,349072.453529274,30.75,,,349072.453529274,,Upper 20% of displacements
b 1 75,255234.0449644367,24.6,,,255234.0449644367,,Upper 20% of displacements
b 1 75,187856.37650107106,20.5,,,187856.37650107106,,Upper 20% of displacements
b 1 75,156919.65681560678,17.57,,,156919.65681560678,,Upper 20% of displacements
b 1 75,148766.63372989392,15.37,,,148766.63372989392,,Upper 20% of displacements
b 1 75,141654.94886821054,13.67,,,141654.94886821054,,Upper 20% of displacements
b 1 75,127355.18883308713,12.3,,,127355.18883308713,,Upper 20% of displacements
b 1 75,109680.22009808852,11.18,,,109680.22009808852,,Upper 20% of displacements
b 1 75,96452.94144315005,10.25,,,96452.94144315005,,Upper 20% of displacements
b 1 80,49280.06243981176,159.0,,,,662179.3999195138,Lower 80% of displacements
b 1 80,639463.7177134522,123.0,,,,639463.7177134522,Lower 80% of displacements
b 1 80,575277.4881054834,61.5,,,,575277.4881054834,Lower 80% of displacements
b 1 80,480884.66304512665,41.0,,,,480884.66304512665,Lower 80% of displacements
b 1 80,373229.66899616766,30.75,,,,373229.66899616766,Lower 80% of displacements
b 1 80,272860.2208170449,24.6,,,,272860.2208170449,Lower 80% of displacements
b 1 80,200775.28495668506,20.5,,,,200775.28495668506,Lower 80% of displacements
b 1 80,167666.72619961874,17.57,,,,167666.72619961874,Lower 80% of displacements
b 1 80,158945.2743953344,15.37,,,,158945.2743953344,Lower 80% of displacements
b 1 80,151348.02458074174,13.67,,,,151348.02458074174,Lower 80% of displacements
b 1 80,136064.5947273675,12.3,,,,136064.5947273675,Lower 80% of displacements
b 1 80,117171.39709075082,11.18,,,,117171.39709075082,Lower 80% of displacements
b 1 80,103038.22701351726,10.25,,,,103038.22701351726,Lower 80% of displacements
b 1 85,51323.143679379486,159.0,,,705889.5852827737,,Upper 20% of displacements
b 1 85,681677.4626541209,123.0,,,681677.4626541209,,Upper 20% of displacements
b 1 85,613264.1468803436,61.5,,,613264.1468803436,,Upper 20% of displacements
b 1 85,512659.63975415897,41.0,,,512659.63975415897,,Upper 20% of displacements
b 1 85,397931.47876519966,30.75,,,397931.47876519966,,Upper 20% of displacements
b 1 85,290989.153997397,24.6,,,290989.153997397,,Upper 20% of displacements
b 1 85,214211.68792619644,20.5,,,214211.68792619644,,Upper 20% of displacements
b 1 85,178956.76845657028,17.57,,,178956.76845657028,,Upper 20% of displacements
b 1 85,169648.17089864536,15.37,,,169648.17089864536,,Upper 20% of displacements
b 1 85,161514.71666616973,13.67,,,161514.71666616973,,Upper 20% of displacements
b 1 85,145182.73352756668,12.3,,,145182.73352756668,,Upper 20% of displacements
b 1 85,125000.66422962077,11.18,,,125000.66422962077,,Upper 20% of displacements
b 1 85,109893.47203551249,10.25,,,109893.47203551249,,Upper 20% of displacements
b 1 90,53929.829328368054,159.0,,,,748108.4642563243,Lower 80% of displacements
b 1 90,722435.6138719713,123.0,,,,722435.6138719713,Lower 80% of displacements
b 1 90,649891.7130171779,61.5,,,,649891.7130171779,Lower 80% of displacements
b 1 90,543201.6943117087,41.0,,,,543201.6943117087,Lower 80% of displacements
b 1 90,421507.22695761273,30.75,,,,421507.22695761273,Lower 80% of displacements
b 1 90,308023.0296324176,24.6,,,,308023.0296324176,Lower 80% of displacements
b 1 90,226494.90949890294,20.5,,,,226494.90949890294,Lower 80% of displacements
b 1 90,189063.1675190262,17.57,,,,189063.1675190262,Lower 80% of displacements
b 1 90,179250.69995187697,15.37,,,,179250.69995187697,Lower 80% of displacements
b 1 90,170713.0170785935,13.67,,,,170713.0170785935,Lower 80% of displacements
b 1 90,153468.56510491206,12.3,,,,153468.56510491206,Lower 80% of displacements
b 1 90,132126.08640795914,11.18,,,,132126.08640795914,Lower 80% of displacements
b 1 90,116160.81179361114,10.25,,,,116160.81179361114,Lower 80% of displacements
b 1 95,56052.530265892245,159.0,,,,792130.708764318,Lower 80% of displacements
b 1 95,764949.7149386668,123.0,,,,764949.7149386668,Lower 80% of displacements
b 1 95,688144.644653399,61.5,,,,688144.644653399,Lower 80% of displacements
b 1 95,575189.1400979846,41.0,,,,575189.1400979846,Lower 80% of displacements
b 1 95,446351.1745265855,30.75,,,,446351.1745265855,Lower 80% of displacements
b 1 95,326210.5519563292,24.6,,,,326210.5519563292,Lower 80% of displacements
b 1 95,239903.73875568362,20.5,,,,239903.73875568362,Lower 80% of displacements
b 1 95,200270.1554978145,17.57,,,,200270.1554978145,Lower 80% of displacements
b 1 95,189863.65326957803,15.37,,,,189863.65326957803,Lower 80% of displacements
b 1 95,180805.17185004478,13.67,,,,180805.17185004478,Lower 80% of displacements
b 1 95,162531.28219493962,12.3,,,,162531.28219493962,Lower 80% of displacements
b 1 95,139920.96270584848,11.18,,,,139920.96270584848,Lower 80% of displacements
b 1 95,123006.07273588584,10.25,,,,123006.07273588584,Lower 80% of displacements
b 1 100,58929.76968259934,159.0,,,,835165.9120910096,Lower 80% of displacements
b 1 100,806499.9634425814,123.0,,,,806499.9634425814,Lower 80% of displacements
b 1 100,725497.1103977183,61.5,,,,725497.1103977183,Lower 80% of displacements
b 1 100,606361.8175245704,41.0,,,,606361.8175245704,Lower 80% of displacements
b 1 100,470460.9132836099,30.75,,,,470460.9132836099,Lower 80% of displacements
b 1 100,343709.14821805415,24.6,,,,343709.14821805415,Lower 80% of displacements
b 1 100,252628.31984295335,20.5,,,,252628.31984295335,Lower 80% of displacements
b 1 100,210813.87650799018,17.57,,,,210813.87650799018,Lower 80% of displacements
b 1 100,199880.15383393414,15.37,,,,199880.15383393414,Lower 80% of displacements
b 1 100,190375.15859163765,13.67,,,,190375.15859163765,Lower 80% of displacements
b 1 100,171134.1436392023,12.3,,,,171134.1436392023,Lower 80% of displacements
b 1 100,147302.42534894118,11.18,,,,147302.42534894118,Lower 80% of displacements
b 1 100,129472.2798168851,10.25,,,,129472.2798168851,Lower 80% of displacements
b 2 55,38749.54783290762,159.0,,,,433434.45658564364,Lower 80% of displacements
b 2 55,419176.017977898,123.0,,,,419176.017977898,Lower 80% of displacements
b 2 55,378794.0927859686,61.5,,,,378794.0927859686,Lower 80% of displacements
b 2 55,319105.2897933073,41.0,,,,319105.2897933073,Lower 80% of displacements
b 2 55,250388.61408930804,30.75,,,,250388.61408930804,Lower 80% of displacements
b 2 55,185142.14020224777,24.6,,,,185142.14020224777,Lower 80% of displacements
b 2 55,136334.66910390998,20.5,,,,136334.66910390998,Lower 80% of displacements
b 2 55,111792.58964169824,17.57,,,,111792.58964169824,Lower 80% of displacements
b 2 55,104662.24915463528,15.37,,,,104662.24915463528,Lower 80% of displacements
b 2 55,100278.93624691792,13.67,,,,100278.93624691792,Lower 80% of displacements
b 2 55,91474.3043351965,12.3,,,,91474.3043351965,Lower 80% of displacements
b 2 55,79538.58578891812,11.18,,,,79538.58578891812,Lower 80% of displacements
b 2 55,69381.73055028958,10.25,,,,69381.73055028958,Lower 80% of displacements
b 2 60,40722.154020669564,159.0,,,,474027.5819773014,Lower 80% of displacements
b 2 60,458432.9859861135,123.0,,,,458432.9859861135,Lower 80% of displacements
b 2 60,414266.49891971046,61.5,,,,414266.49891971046,Lower 80% of displacements
b 2 60,348982.4853509398,41.0,,,,348982.4853509398,Lower 80% of displacements
b 2 60,273821.84890466445,30.75,,,,273821.84890466445,Lower 80% of displacements
b 2 60,202453.1898478071,24.6,,,,202453.1898478071,Lower 80% of displacements
b 2 60,149063.75913288406,20.5,,,,149063.75913288406,Lower 80% of displacements
b 2 60,122223.13491124703,17.57,,,,122223.13491124703,Lower 80% of displacements
b 2 60,114438.24497130689,15.37,,,,114438.24497130689,Lower 80% of displacements
b 2 60,109660.51508019463,13.67,,,,109660.51508019463,Lower 80% of displacements
b 2 60,100043.58582620528,12.3,,,,100043.58582620528,Lower 80% of displacements
b 2 60,86996.41099928155,11.18,,,,86996.41099928155,Lower 80% of displacements
b 2 60,75888.42380870623,10.25,,,,75888.42380870623,Lower 80% of displacements
b 2 65,42462.012737880985,159.0,,,514816.8924764139,,Upper 20% of displacements
b 2 65,497877.72331312246,123.0,,,497877.72331312246,,Upper 20% of displacements
b 2 65,449902.81564611074,61.5,,,449902.81564611074,,Upper 20% of displacements
b 2 65,378988.2571397615,41.0,,,378988.2571397615,,Upper 20% of displacements
b 2 65,297342.95520849817,30.75,,,297342.95520849817,,Upper 20% of displacements
b 2 65,219814.15251085206,24.6,,,219814.15251085206,,Upper 20% of displacements
b 2 65,161818.33197847486,20.5,,,161818.33197847486,,Upper 20% of displacements
b 2 65,132677.37642698767,17.57,,,132677.37642698767,,Upper 20% of displacements
b 2 65,124250.80799243928,15.37,,,124250.80799243928,,Upper 20% of displacements
b 2 65,119091.03640701843,13.67,,,119091.03640701843,,Upper 20% of displacements
b 2 65,108670.32693056209,12.3,,,108670.32693056209,,Upper 20% of displacements
b 2 65,94519.9545085142,11.18,,,94519.9545085142,,Upper 20% of displacements
b 2 65,82471.3991863227,10.25,,,82471.3991863227,,Upper 20% of displacements
b 2 70,44377.951199081544,159.0,,,,555856.1976976317,Lower 80% of displacements
b 2 70,537567.2355646524,123.0,,,,537567.2355646524,Lower 80% of displacements
b 2 70,485769.01698978426,61.5,,,,485769.01698978426,Lower 80% of displacements
b 2 70,409201.4840077984,41.0,,,,409201.4840077984,Lower 80% of displacements
b 2 70,321044.4303571942,30.75,,,,321044.4303571942,Lower 80% of displacements
b 2 70,237325.95087313215,24.6,,,,237325.95087313215,Lower 80% of displacements
b 2 70,174690.90684807504,20.5,,,,174690.90684807504,Lower 80% of displacements
b 2 70,143212.3537876664,17.57,,,,143212.3537876664,Lower 80% of displacements
b 2 70,134110.83359338032,15.37,,,,134110.83359338032,Lower 80% of displacements
b 2 70,128543.57380583344,13.67,,,,128543.57380583344,Lower 80% of displacements
b 2 70,117295.21350630667,12.3,,,,117295.21350630667,Lower 80% of displacements
b 2 70,102015.04583254979,11.18,,,,102015.04583254979,Lower 80% of displacements
b 2 70,88999.95563903538,10.25,,,,88999.95563903538,Lower 80% of displacements
b 2 75,46488.21825874523,159.0,,,596264.5655907262,,Upper 20% of displacements
b 2 75,576634.1501711828,123.0,,,576634.1501711828,,Upper 20% of displacements
b 2 75,521035.70686874544,61.5,,,521035.70686874544,,Upper 20% of displacements
b 2 75,438847.695355496,41.0,,,438847.695355496,,Upper 20% of displacements
b 2 75,344213.88254581956,30.75,,,344213.88254581956,,Upper 20% of displacements
b 2 75,254340.2952510355,24.6,,,254340.2952510355,,Upper 20% of displacements
b 2 75,187115.14602769894,20.5,,,187115.14602769894,,Upper 20% of displacements
b 2 75,153392.9986044642,17.57,,,153392.9986044642,,Upper 20% of displacements
b 2 75,143732.9524491636,15.37,,,143732.9524491636,,Upper 20% of displacements
b 2 75,137851.51827688224,13.67,,,137851.51827688224,,Upper 20% of displacements
b 2 75,125842.51243192374,12.3,,,125842.51243192374,,Upper 20% of displacements
b 2 75,109480.48277689783,11.18,,,109480.48277689783,,Upper 20% of displacements
b 2 75,95526.32728398338,10.25,,,95526.32728398338,,Upper 20% of displacements
b 2 80,48442.80817879907,159.0,,,637911.9299532039,,Upper 20% of displacements
b 2 80,616912.9980933487,123.0,,,616912.9980933487,,Upper 20% of displacements
b 2 80,557438.5031526707,61.5,,,557438.5031526707,,Upper 20% of displacements
b 2 80,469520.6047209288,41.0,,,469520.6047209288,,Upper 20% of displacements
b 2 80,368289.02338021965,30.75,,,368289.02338021965,,Upper 20% of displacements
b 2 80,272149.0065666207,24.6,,,272149.0065666207,,Upper 20% of displacements
b 2 80,200233.85165761923,20.5,,,200233.85165761923,,Upper 20% of displacements
b 2 80,164151.27908432714,17.57,,,164151.27908432714,,Upper 20% of displacements
b 2 80,153805.70594693942,15.37,,,153805.70594693942,,Upper 20% of displacements
b 2 80,147505.3900553196,13.67,,,147505.3900553196,,Upper 20% of displacements
b 2 80,134652.23244972248,12.3,,,134652.23244972248,,Upper 20% of displacements
b 2 80,117141.20167706882,11.18,,,117141.20167706882,,Upper 20% of displacements
b 2 80,102203.56386828035,10.25,,,102203.56386828035,,Upper 20% of displacements
b 2 85,50430.789541213664,159.0,,,679718.1950574984,,Upper 20% of displacements
b 2 85,657345.4305258333,123.0,,,657345.4305258333,,Upper 20% of displacements
b 2 85,593979.6937685132,61.5,,,593979.6937685132,,Upper 20% of displacements
b 2 85,500308.9627520942,41.0,,,500308.9627520942,,Upper 20% of displacements
b 2 85,392451.9568055432,30.75,,,392451.9568055432,,Upper 20% of displacements
b 2 85,290016.594351453,24.6,,,290016.594351453,,Upper 20% of displacements
b 2 85,213385.24210244202,20.5,,,213385.24210244202,,Upper 20% of displacements
b 2 85,174924.36676060822,17.57,,,174924.36676060822,,Upper 20% of displacements
b 2 85,163885.73372105203,15.37,,,163885.73372105203,,Upper 20% of displacements
b 2 85,157163.1233256765,13.67,,,157163.1233256765,,Upper 20% of displacements
b 2 85,143461.84162772563,12.3,,,143461.84162772563,,Upper 20% of displacements
b 2 85,124797.87585916821,11.18,,,124797.87585916821,,Upper 20% of displacements
b 2 85,108876.58046087447,10.25,,,108876.58046087447,,Upper 20% of displacements
b 2 90,52467.95271965337,159.0,,,721620.2001209941,,Upper 20% of displacements
b 2 90,697868.9344007496,123.0,,,697868.9344007496,,Upper 20% of displacements
b 2 90,630599.0448080641,61.5,,,630599.0448080641,,Upper 20% of displacements
b 2 90,531157.5511994348,41.0,,,531157.5511994348,,Upper 20% of displacements
b 2 90,416657.4392086586,30.75,,,416657.4392086586,,Upper 20% of displacements
b 2 90,307916.5926302348,24.6,,,307916.5926302348,,Upper 20% of displacements
b 2 90,226574.04651861312,20.5,,,226574.04651861312,,Upper 20% of displacements
b 2 90,185752.43636802133,17.57,,,185752.43636802133,,Upper 20% of displacements
b 2 90,174032.98465447853,15.37,,,174032.98465447853,,Upper 20% of displacements
b 2 90,166886.3832709275,13.67,,,166886.3832709275,,Upper 20% of displacements
b 2 90,152324.1503374945,12.3,,,152324.1503374945,,Upper 20% of displacements
b 2 90,132488.0128600547,11.18,,,132488.0128600547,,Upper 20% of displacements
b 2 90,115564.08820961032,10.25,,,115564.08820961032,,Upper 20% of displacements
b 2 95,54433.23634491312,159.0,,,763783.5223267255,,Upper 20% of displacements
b 2 95,738645.5615928788,123.0,,,738645.5615928788,,Upper 20% of displacements
b 2 95,667447.6932110119,61.5,,,667447.6932110119,,Upper 20% of displacements
b 2 95,562197.9889057338,41.0,,,562197.9889057338,,Upper 20% of displacements
b 2 95,441006.2616077161,30.75,,,441006.2616077161,,Upper 20% of displacements
b 2 95,325902.9258075419,24.6,,,325902.9258075419,,Upper 20% of displacements
b 2 95,239789.26804883216,20.5,,,239789.26804883216,,Upper 20% of displacements
b 2 95,196562.72487141937,17.57,,,196562.72487141937,,Upper 20% of displacements
b 2 95,184151.0788254917,15.37,,,184151.0788254917,,Upper 20% of displacements
b 2 95,176590.2061364799,13.67,,,176590.2061364799,,Upper 20% of displacements
b 2 95,161183.64923114137,12.3,,,161183.64923114137,,Upper 20% of displacements
b 2 95,140194.46595713362,11.18,,,140194.46595713362,,Upper 20% of displacements
b 2 95,122287.00341446098,10.25,,,122287.00341446098,,Upper 20% of displacements
b 2 100,56870.78907041624,159.0,,,,805369.0566949811,Lower 80% of displacements
b 2 100,778856.5473709385,123.0,,,,778856.5473709385,Lower 80% of displacements
b 2 100,703763.6171679388,61.5,,,,703763.6171679388,Lower 80% of displacements
b 2 100,592749.1504472209,41.0,,,,592749.1504472209,Lower 80% of displacements
b 2 100,464903.9443083499,30.75,,,,464903.9443083499,Lower 80% of displacements
b 2 100,343453.2672605084,24.6,,,,343453.2672605084,Lower 80% of displacements
b 2 100,252557.05959411713,20.5,,,,252557.05959411713,Lower 80% of displacements
b 2 100,206925.35319475282,17.57,,,,206925.35319475282,Lower 80% of displacements
b 2 100,193862.0005660262,15.37,,,,193862.0005660262,Lower 80% of displacements
b 2 100,185941.43763400067,13.67,,,,185941.43763400067,Lower 80% of displacements
b 2 100,169739.60463333008,12.3,,,,169739.60463333008,Lower 80% of displacements
b 2 100,147635.89692410943,11.18,,,,147635.89692410943,Lower 80% of displacements
b 2 100,128772.61251600778,10.25,,,,128772.61251600778,Lower 80% of displacements
b 3 55,38252.07155385265,159.0,,,,417132.0077024302,Lower 80% of displacements
b 3 55,403940.00335053966,123.0,,,,403940.00335053966,Lower 80% of displacements
b 3 55,366504.425438747,61.5,,,,366504.425438747,Lower 80% of displacements
b 3 55,310926.97251403687,41.0,,,,310926.97251403687,Lower 80% of displacements
b 3 55,246419.94345803844,30.75,,,,246419.94345803844,Lower 80% of displacements
b 3 55,184192.02814178364,24.6,,,,184192.02814178364,Lower 80% of displacements
b 3 55,135977.57374059706,20.5,,,,135977.57374059706,Lower 80% of displacements
b 3 55,109732.95641295583,17.57,,,,109732.95641295583,Lower 80% of displacements
b 3 55,101189.26879837178,15.37,,,,101189.26879837178,Lower 80% of displacements
b 3 55,97223.54315424491,13.67,,,,97223.54315424491,Lower 80% of displacements
b 3 55,89903.95421794962,12.3,,,,89903.95421794962,Lower 80% of displacements
b 3 55,79196.85862198517,11.18,,,,79196.85862198517,Lower 80% of displacements
b 3 55,69038.40106809202,10.25,,,,69038.40106809202,Lower 80% of displacements
b 3 60,40128.51777695626,159.0,,,,456254.6020468561,Lower 80% of displacements
b 3 60,441825.5144597265,123.0,,,,441825.5144597265,Lower 80% of displacements
b 3 60,400879.0367013869,61.5,,,,400879.0367013869,Lower 80% of displacements
b 3 60,340088.05621947336,41.0,,,,340088.05621947336,Lower 80% of displacements
b 3 60,269527.4823939519,30.75,,,,269527.4823939519,Lower 80% of displacements
b 3 60,201456.38321345704,24.6,,,,201456.38321345704,Lower 80% of displacements
b 3 60,148711.6140268875,20.5,,,,148711.6140268875,Lower 80% of displacements
b 3 60,120003.58759625157,17.57,,,,120003.58759625157,Lower 80% of displacements
b 3 60,110668.65071209427,15.37,,,,110668.65071209427,Lower 80% of displacements
b 3 60,106347.26894473536,13.67,,,,106347.26894473536,Lower 80% of displacements
b 3 60,98357.32492367925,12.3,,,,98357.32492367925,Lower 80% of displacements
b 3 60,86658.88191384125,11.18,,,,86658.88191384125,Lower 80% of displacements
b 3 60,75555.08896009887,10.25,,,,75555.08896009887,Lower 80% of displacements
b 3 65,41868.555842550864,159.0,,,495477.9040661735,,Upper 20% of displacements
b 3 65,479807.7247595817,123.0,,,479807.7247595817,,Upper 20% of displacements
b 3 65,435338.9111206894,61.5,,,435338.9111206894,,Upper 20% of displacements
b 3 65,369317.23306961876,41.0,,,369317.23306961876,,Upper 20% of displacements
b 3 65,292682.8419799798,30.75,,,292682.8419799798,,Upper 20% of displacements
b 3 65,218748.7117400839,24.6,,,218748.7117400839,,Upper 20% of displacements
b 3 65,161458.98473029304,20.5,,,161458.98473029304,,Upper 20% of displacements
b 3 65,130282.93593072706,17.57,,,130282.93593072706,,Upper 20% of displacements
b 3 65,120159.8386728487,15.37,,,120159.8386728487,,Upper 20% of displacements
b 3 65,115485.06896484236,13.67,,,115485.06896484236,,Upper 20% of displacements
b 3 65,106821.65824688261,12.3,,,106821.65824688261,,Upper 20% of displacements
b 3 65,94122.99508015162,11.18,,,94122.99508015162,,Upper 20% of displacements
b 3 65,82061.52884776435,10.25,,,82061.52884776435,,Upper 20% of displacements
b 3 70,43701.81501049261,159.0,,,534978.9875275244,,Upper 20% of displacements
b 3 70,518059.7242597458,123.0,,,518059.7242597458,,Upper 20% of displacements
b 3 70,470045.8162411314,61.5,,,470045.8162411314,,Upper 20% of displacements
b 3 70,398759.37294259976,41.0,,,398759.37294259976,,Upper 20% of displacements
b 3 70,316010.9338113108,30.75,,,316010.9338113108,,Upper 20% of displacements
b 3 70,236173.41895782924,24.6,,,236173.41895782924,,Upper 20% of displacements
b 3 70,174304.29040063018,20.5,,,174304.29040063018,,Upper 20% of displacements
b 3 70,140636.79373687858,17.57,,,140636.79373687858,,Upper 20% of displacements
b 3 70,129714.59654589226,15.37,,,129714.59654589226,,Upper 20% of displacements
b 3 70,124682.80856859207,13.67,,,124682.80856859207,,Upper 20% of displacements
b 3 70,115344.1190039604,12.3,,,115344.1190039604,,Upper 20% of displacements
b 3 70,101644.17313176033,11.18,,,101644.17313176033,,Upper 20% of displacements
b 3 70,88625.88967461619,10.25,,,88625.88967461619,,Upper 20% of displacements
b 3 75,45592.111741709385,159.0,,,574709.3952418753,,Upper 20% of displacements
b 3 75,556534.9254340122,123.0,,,556534.9254340122,,Upper 20% of displacements
b 3 75,504958.4730152578,61.5,,,504958.4730152578,,Upper 20% of displacements
b 3 75,428381.0972349083,41.0,,,428381.0972349083,,Upper 20% of displacements
b 3 75,339487.6143988981,30.75,,,339487.6143988981,,Upper 20% of displacements
b 3 75,253715.37540236837,24.6,,,253715.37540236837,,Upper 20% of displacements
b 3 75,187239.2418154751,20.5,,,187239.2418154751,,Upper 20% of displacements
b 3 75,151059.38577431327,17.57,,,151059.38577431327,,Upper 20% of displacements
b 3 75,139325.3839108282,15.37,,,139325.3839108282,,Upper 20% of displacements
b 3 75,133929.1796041235,13.67,,,133929.1796041235,,Upper 20% of displacements
b 3 75,123908.2967611288,12.3,,,123908.2967611288,,Upper 20% of displacements
b 3 75,109198.69318005242,11.18,,,109198.69318005242,,Upper 20% of displacements
b 3 75,95214.92531312464,10.25,,,95214.92531312464,,Upper 20% of displacements
b 3 80,47841.10977750219,159.0,,,,614384.9882276438,Lower 80% of displacements
b 3 80,594954.680152745,123.0,,,,594954.680152745,Lower 80% of displacements
b 3 80,539813.8298135647,61.5,,,,539813.8298135647,Lower 80% of displacements
b 3 80,457942.67212994606,41.0,,,,457942.67212994606,Lower 80% of displacements
b 3 80,362901.1182694159,30.75,,,,362901.1182694159,Lower 80% of displacements
b 3 80,271193.4872787649,24.6,,,,271193.4872787649,Lower 80% of displacements
b 3 80,200118.3133294944,20.5,,,,200118.3133294944,Lower 80% of displacements
b 3 80,161449.28596650495,17.57,,,,161449.28596650495,Lower 80% of displacements
b 3 80,148932.83420275387,15.37,,,,148932.83420275387,Lower 80% of displacements
b 3 80,143192.18753050995,13.67,,,,143192.18753050995,Lower 80% of displacements
b 3 80,132495.16888600192,12.3,,,,132495.16888600192,Lower 80% of displacements
b 3 80,116767.10314738848,11.18,,,,116767.10314738848,Lower 80% of displacements
b 3 80,101794.04691044554,10.25,,,,101794.04691044554,Lower 80% of displacements
b 3 85,49581.72085084432,159.0,,,,654301.7473295666,Lower 80% of displacements
b 3 85,633606.5209253338,123.0,,,,633606.5209253338,Lower 80% of displacements
b 3 85,574875.3704306567,61.5,,,,574875.3704306567,Lower 80% of displacements
b 3 85,487671.4549193344,41.0,,,,487671.4549193344,Lower 80% of displacements
b 3 85,386435.2501246069,30.75,,,,386435.2501246069,Lower 80% of displacements
b 3 85,288744.5781692572,24.6,,,,288744.5781692572,Lower 80% of displacements
b 3 85,213029.83188012964,20.5,,,,213029.83188012964,Lower 80% of displacements
b 3 85,171848.92857745572,17.57,,,,171848.92857745572,Lower 80% of displacements
b 3 85,158547.69240693646,15.37,,,,158547.69240693646,Lower 80% of displacements
b 3 85,152469.2227254099,13.67,,,,152469.2227254099,Lower 80% of displacements
b 3 85,141105.41073900543,12.3,,,,141105.41073900543,Lower 80% of displacements
