,value,period,hidisp_s,lodisp_s,hidisp_b,lodisp_b,category
b 4 100,54718.929687437965,159.0,,,746511.7262115993,,Upper 20% of displacements
b 5 5,22824.51978771884,159.0,,34165.26609815594,,,Lower 80% of displacements
b 5 10,24441.157838699357,159.0,,68608.82716945127,,,Lower 80% of displacements
b 5 15,26557.444552502046,159.0,103099.65789636827,,,,Upper 20% of displacements
b 5 20,26659.457756658045,159.0,,137963.42864780934,,,Lower 80% of displacements
b 5 25,28561.709018008936,159.0,,172624.12086648625,,,Lower 80% of displacements
b 5 30,29972.83886467,159.0,,207765.819902445,,,Lower 80% of displacements
b 5 35,31885.533491510512,159.0,,243011.8224690257,,,Lower 80% of displacements
b 5 40,33702.240690148166,159.0,,278239.2788396229,,,Lower 80% of displacements
b 5 45,35487.13974089715,159.0,,313884.1851512997,,,Lower 80% of displacements
b 5 50,36172.71349983375,159.0,,349786.35748266755,,,Lower 80% of displacements
b 5 55,38044.61270405824,159.0,,,,385544.80112983816,Lower 80% of displacements
b 5 60,39011.93022485,159.0,,,,421843.0393856814,Lower 80% of displacements
b 5 65,40779.06988986135,159.0,,,,457883.92142280185,Lower 80% of displacements
b 5 70,42440.84607897392,159.0,,,,494544.9588751666,Lower 80% of displacements
b 5 75,44145.82052741085,159.0,,,,531120.912018511,Lower 80% of displacements
b 5 80,45949.6485035428,159.0,,,,567789.9717673829,Lower 80% of displacements
b 5 85,47817.78945407876,159.0,,,,604884.0670931891,Lower 80% of displacements
b 5 90,49731.72725538608,159.0,,,642177.1065378749,,Upper 20% of displacements
b 5 95,51666.74456147927,159.0,,,,679619.4326776171,Lower 80% of displacements
b 5 100,53633.19842148405,159.0,,,716926.5316317787,,Upper 20% of displacements
b 6 5,22768.479211313937,159.0,,32811.07490971778,,,Lower 80% of displacements
b 6 10,24267.979822254532,159.0,,65885.3190292737,,,Lower 80% of displacements
b 6 15,26440.475752664664,159.0,98971.39321638917,,,,Upper 20% of displacements
b 6 20,26540.89142058756,159.0,,132483.42109801027,,,Lower 80% of displacements
b 6 25,28342.2711443145,159.0,,165843.29542415444,,,Lower 80% of displacements
b 6 30,29878.46237334958,159.0,,199562.5817956839,,,Lower 80% of displacements
b 6 35,31551.21105930043,159.0,,233365.38734540355,,,Lower 80% of displacements
b 6 40,33442.15011445462,159.0,,267424.1991305805,,,Lower 80% of displacements
b 6 45,33852.98631836862,159.0,,301548.7007048465,,,Lower 80% of displacements
b 6 50,37153.50261979811,159.0,,335735.5855743835,,,Lower 80% of displacements
b 6 55,37517.812384262324,159.0,,,,370408.87501018634,Lower 80% of displacements
b 6 60,39485.51331009089,159.0,,,,404943.15269985516,Lower 80% of displacements
b 6 65,40581.85288358955,159.0,,,,439862.3642552813,Lower 80% of displacements
b 6 70,41741.99278412685,159.0,,,,474861.7180950417,Lower 80% of displacements
b 6 75,43667.12475305159,159.0,,,,509969.40703583206,Lower 80% of displacements
b 6 80,45343.24929377516,159.0,,,,545477.0038289874,Lower 80% of displacements
b 6 85,47044.68876747889,159.0,,,,580762.1211197546,Lower 80% of displacements
b 6 90,48763.52930111128,159.0,,,,616448.9287779358,Lower 80% of displacements
b 6 95,50574.25723604107,159.0,,,,652460.8082631181,Lower 80% of displacements
b 6 100,52427.33782931126,159.0,,,,688387.9026679058,Lower 80% of displacements
b 7 5,22843.096091599324,159.0,,31471.828799736548,,,Lower 80% of displacements
b 7 10,24438.176311773736,159.0,,63195.28322875008,,,Lower 80% of displacements
b 7 15,26503.457188654997,159.0,94940.98051634771,,,,Upper 20% of displacements
b 7 20,27863.39169752609,159.0,127069.52904501336,,,,Upper 20% of displacements
b 7 25,27729.928448947765,159.0,,159336.86688935148,,,Lower 80% of displacements
b 7 30,29435.638856680598,159.0,,191501.54737613254,,,Lower 80% of displacements
b 7 35,30786.669132119292,159.0,,223978.33267421214,,,Lower 80% of displacements
b 7 40,32570.29844952056,159.0,,256620.41330403305,,,Lower 80% of displacements
b 7 45,34718.354946448184,159.0,,289394.4797717639,,,Lower 80% of displacements
b 7 50,35282.274589555265,159.0,,322256.13301472896,,,Lower 80% of displacements
b 7 55,38258.43710480804,159.0,,,355276.96171869285,,Upper 20% of displacements
b 7 60,39365.47023728029,159.0,,,388573.4805910303,,Upper 20% of displacements
b 7 65,40337.570266436494,159.0,,,,422126.91643933277,Lower 80% of displacements
b 7 70,42060.18543950918,159.0,,,,455527.6389900595,Lower 80% of displacements
b 7 75,43883.549484792784,159.0,,,,489217.706925656,Lower 80% of displacements
b 7 80,45194.46826360761,159.0,,,,523038.74911746907,Lower 80% of displacements
b 7 85,46161.56493622332,159.0,,,,557228.630907956,Lower 80% of displacements
b 7 90,47971.960569790324,159.0,,,,591487.6538012809,Lower 80% of displacements
b 7 95,49557.37903368259,159.0,,,,625693.4087052192,Lower 80% of displacements
b 7 100,51259.068899733014,159.0,,,,660295.2501407872,Lower 80% of displacements
b 8 5,22820.040591449877,159.0,,30172.45250888139,,,Lower 80% of displacements
b 8 10,24372.52257841231,159.0,,60576.69829433669,,,Lower 80% of displacements
b 8 15,26223.618589755053,159.0,91099.49166852201,,,,Upper 20% of displacements
